| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                                                                 | remediation                                                                                | metadata                                                                                                                                                            | cache_key                                                                                                            |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.permission_audit_log\` has a foreign key \`permission_audit_log_target_relationship_id_fkey\` without a covering index. This can lead to suboptimal query performance.                  | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"permission_audit_log","type":"table","schema":"public","fkey_name":"permission_audit_log_target_relationship_id_fkey","fkey_columns":[6]}                  | unindexed_foreign_keys_public_permission_audit_log_permission_audit_log_target_relationship_id_fkey                  |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.permission_presets\` has a foreign key \`permission_presets_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.                                  | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"permission_presets","type":"table","schema":"public","fkey_name":"permission_presets_created_by_fkey","fkey_columns":[6]}                                  | unindexed_foreign_keys_public_permission_presets_permission_presets_created_by_fkey                                  |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.permission_requests\` has a foreign key \`permission_requests_permission_slug_fkey\` without a covering index. This can lead to suboptimal query performance.                           | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"permission_requests","type":"table","schema":"public","fkey_name":"permission_requests_permission_slug_fkey","fkey_columns":[3]}                           | unindexed_foreign_keys_public_permission_requests_permission_requests_permission_slug_fkey                           |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.professional_client_relationships\` has a foreign key \`professional_client_relationships_invitation_id_fkey\` without a covering index. This can lead to suboptimal query performance. | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"professional_client_relationships","type":"table","schema":"public","fkey_name":"professional_client_relationships_invitation_id_fkey","fkey_columns":[6]} | unindexed_foreign_keys_public_professional_client_relationships_professional_client_relationships_invitation_id_fkey |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.professional_profiles\` has a foreign key \`professional_profiles_verification_reviewed_by_fkey\` without a covering index. This can lead to suboptimal query performance.              | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"professional_profiles","type":"table","schema":"public","fkey_name":"professional_profiles_verification_reviewed_by_fkey","fkey_columns":[19]}             | unindexed_foreign_keys_public_professional_profiles_professional_profiles_verification_reviewed_by_fkey              |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.routine_ai_requests\` has a foreign key \`routine_ai_requests_for_client_id_fkey\` without a covering index. This can lead to suboptimal query performance.                             | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"routine_ai_requests","type":"table","schema":"public","fkey_name":"routine_ai_requests_for_client_id_fkey","fkey_columns":[4]}                             | unindexed_foreign_keys_public_routine_ai_requests_routine_ai_requests_for_client_id_fkey                             |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.routine_ai_requests\` has a foreign key \`routine_ai_requests_goal_type_id_fkey\` without a covering index. This can lead to suboptimal query performance.                              | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"routine_ai_requests","type":"table","schema":"public","fkey_name":"routine_ai_requests_goal_type_id_fkey","fkey_columns":[7]}                              | unindexed_foreign_keys_public_routine_ai_requests_routine_ai_requests_goal_type_id_fkey                              |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.routine_assignment_update_events\` has a foreign key \`routine_assignment_update_events_from_version_id_fkey\` without a covering index. This can lead to suboptimal query performance. | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"routine_assignment_update_events","type":"table","schema":"public","fkey_name":"routine_assignment_update_events_from_version_id_fkey","fkey_columns":[3]} | unindexed_foreign_keys_public_routine_assignment_update_events_routine_assignment_update_events_from_version_id_fkey |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.routine_assignment_update_events\` has a foreign key \`routine_assignment_update_events_performed_by_fkey\` without a covering index. This can lead to suboptimal query performance.    | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"routine_assignment_update_events","type":"table","schema":"public","fkey_name":"routine_assignment_update_events_performed_by_fkey","fkey_columns":[7]}    | unindexed_foreign_keys_public_routine_assignment_update_events_routine_assignment_update_events_performed_by_fkey    |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.routine_assignment_update_events\` has a foreign key \`routine_assignment_update_events_to_version_id_fkey\` without a covering index. This can lead to suboptimal query performance.   | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"routine_assignment_update_events","type":"table","schema":"public","fkey_name":"routine_assignment_update_events_to_version_id_fkey","fkey_columns":[4]}   | unindexed_foreign_keys_public_routine_assignment_update_events_routine_assignment_update_events_to_version_id_fkey   |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.routine_blueprints\` has a foreign key \`routine_blueprints_owner_id_fkey\` without a covering index. This can lead to suboptimal query performance.                                    | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"routine_blueprints","type":"table","schema":"public","fkey_name":"routine_blueprints_owner_id_fkey","fkey_columns":[5]}                                    | unindexed_foreign_keys_public_routine_blueprints_routine_blueprints_owner_id_fkey                                    |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.unread_counts\` has a foreign key \`unread_counts_conversation_id_fkey\` without a covering index. This can lead to suboptimal query performance.                                       | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"unread_counts","type":"table","schema":"public","fkey_name":"unread_counts_conversation_id_fkey","fkey_columns":[2]}                                       | unindexed_foreign_keys_public_unread_counts_unread_counts_conversation_id_fkey                                       |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.workout_sessions\` has a foreign key \`workout_sessions_logged_by_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.                               | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"workout_sessions","type":"table","schema":"public","fkey_name":"workout_sessions_logged_by_user_id_fkey","fkey_columns":[3]}                               | unindexed_foreign_keys_public_workout_sessions_workout_sessions_logged_by_user_id_fkey                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_foods_canonical_name\` on table \`public.foods\` has not been used                                                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"foods","type":"table","schema":"public"}                                                                                                                   | unused_index_public_foods_idx_foods_canonical_name                                                                   |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_foods_source\` on table \`public.foods\` has not been used                                                                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"foods","type":"table","schema":"public"}                                                                                                                   | unused_index_public_foods_idx_foods_source                                                                           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_invitations_email\` on table \`public.invitations\` has not been used                                                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"invitations","type":"table","schema":"public"}                                                                                                             | unused_index_public_invitations_idx_invitations_email                                                                |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_workout_sessions_user\` on table \`public.workout_sessions\` has not been used                                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"workout_sessions","type":"table","schema":"public"}                                                                                                        | unused_index_public_workout_sessions_idx_workout_sessions_user                                                       |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_workout_sessions_logged_at\` on table \`public.workout_sessions\` has not been used                                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"workout_sessions","type":"table","schema":"public"}                                                                                                        | unused_index_public_workout_sessions_idx_workout_sessions_logged_at                                                  |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_weigh_ins_logged_at\` on table \`public.weigh_ins\` has not been used                                                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"weigh_ins","type":"table","schema":"public"}                                                                                                               | unused_index_public_weigh_ins_idx_weigh_ins_logged_at                                                                |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_food_aliases_normalized\` on table \`public.food_aliases\` has not been used                                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"food_aliases","type":"table","schema":"public"}                                                                                                            | unused_index_public_food_aliases_idx_food_aliases_normalized                                                         |
